     V0  V1  V2  V3  V4  V5  V6  V7  V8  V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23 V24
 V5   X   X  56  11   X   X  19   X   X   X  46 100  81  24  76   X   X   X   X   X   X   X   X  11   X 
 V6   X   X   X   X  90  19   X   X   X   X   X   X   X   X   X   X   X   X  87   X  56   X   X   X  25 
 V7   X  64  72  74   X   X   X   X   X  19  91   X   X   X   X  40  41   X   X   X   X   X   X   1   X 
 V8   5   X   X  42   X   X   X   X   X   X   X   X   8   X   X   X  90   X  64  83   X   X   X   X   X 
 V9   X   X   X  22   X   X   X  19   X   X  30  65  71   X   X   X   X   X  94  32   X   X   X   X   X 
V10  82   X   X   X   X  46   X  91   X  30   X  25  75   X   X   X   X  26  58   X  35  95   X   X   X 
V11   X  21   X  76   X 100   X   X   X  65  25   X  95   X  10   X   X   X   X  73   X   X   X   X  61 
V12   X  40   X   X   X  81   X   X   8  71  75  95   X   X   X   X   X   X   X   X   X   X   X   X   X 
V13   X   5   X  93   X  24   X   X   X   X   X   X   X   X   X  57  51  97  13   X  17   X   X  80   X 
V14  42  13  46   X   X  76   X   X   X   X   X  10   X   X   X   X   X   X  46  50  41   X  99   X   2 
V15  27   X   X  19   X   X   X  40   X   X   X   X   X  57   X   X   X  19   X   X  68   X  60   X   X 
V16   X   X  34   X  14   X   X  41  90   X   X   X   X  51   X   X   X   X   X   X   X   X  69  19   X 
V17   X   X   X   X   X   X   X   X   X   X  26   X   X  97   X  19   X   X   X  89   4   X   X   X   X 
V18   X  80  94  19   X   X  87   X  64  94  58   X   X  13  46   X   X   X   X   X  80   X   X   X  18 
V19   X   6   X   X  74   X   X   X  83  32   X  73   X   X  50   X   X  89   X   X  26   X   X   X   X 
V20  55   X  73   X  50   X  56   X   X   X  35   X   X  17  41  68   X   4  80  26   X  35   X  87  89 
V21   X   X   X   X   4   X   X   X   X   X  95   X   X   X   X   X   X   X   X   X  35   X   X  23   X 
V22   X   X   X  31   X   X   X   X   X   X   X   X   X   X  99  60  69   X   X   X   X   X   X   X   X 
V23   X   X   X  14  89  11   X   1   X   X   X   X   X  80   X   X  19   X   X   X  87  23   X   X  86 
V24   X  76   X   X  36   X  25   X   X   X   X  61   X   X   2   X   X   X  18   X  89   X   X  86   X 
(V23-V7,1)(V24-V14,2)(V21-V4,4)(V20-V17,4)(V8-V0,5)(V1-V13,5)(V3-V2,5)(V19-V1,6)(V8-V12,8)(V11-V14,10)(V5-V3,11)(V5-V23,11)(V14-V1,13)(V18-V13,13)(V4-V16,14)(V13-V20,17)(V7-V9,19)(V16-V23,19)(V3-V18,19)(V15-V17,19)(V6-V5,19)(V10-V11,25)(V0-V15,27)(V22-V3,31)最小生成树总权值为307
     V0  V1  V2  V3  V4  V5  V6  V7  V8  V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23 V24
 V0   X  81   X   8   X   X  78   X   X  38   4   X   X   X   X   X   X   X   X  45   X   X   X   X   X 
 V1  81   X   X   X   X  30  10   X   X  86   X  75  27  47   X   X   X   X   X  37   X   X  13   X   X 
 V2   X   X   X  69   X   X   X   X   X   X   X   X   X   X  74   X  21   X   X  24   X   X   X   X   X 
 V3   8   X  69   X   X   X  87  78   X   X   X   X   X   X  94   X   X   X   X   X   X  39  64  71   X 
 V4   X   X   X   X   X   X  52   X  56   X  65   X   X   X   X  13   X  78  58   X   X   X   X   X  55 
 V5   X  30   X   X   X   X   X   X   X   X  90   X   X   X  22  48   X   X   X   X   X   X   X   X  53 
 V6  78  10   X  87  52   X   X   X  82   X   X   X   X   X  65  96  46   X  71   X   X   X   X   X   X 
 V7   X   X   X  78   X   X   X   X   X   X   X  41   X   X   X  11   X  95   X   X   X   X   X   X   X 
 V8   X   X   X   X  56   X  82   X   X  80   1   X  17   X   X   X   X  26   X  35  72   X   X  78  62 
 V9  38  86   X   X   X   X   X   X  80   X   X  88  53   X   X  56   X  61  25   X   X   X  78   X   X 
V10   4   X   X   X  65  90   X   X   1   X   X  48  19  61  69  44  80   X   6   X   X  81   X   X   X 
V11   X  75   X   X   X   X   X  41   X  88  48   X   X   X   X  41  40   X   X  41   X   X   X  50  94 
V12   X  27   X   X   X   X   X   X  17  53  19   X   X   X   X  87   X   X   X  94  12   X  33   X   X 
V13   X  47   X   X   X   X   X   X   X   X  61   X   X   X   X   X   X  63  69   X   X   X   8   X  58 
V14   X   X  74  94   X  22  65   X   X   X  69   X   X   X   X  15  41   X   X   X   X  16  71  20  80 
V15   X   X   X   X  13  48  96  11   X  56  44  41  87   X  15   X  13   X  80   X  70  47   X   X   X 
V16   X   X  21   X   X   X  46   X   X   X  80  40   X   X  41  13   X  94   X  75  40   X  62   X   X 
V17   X   X   X   X  78   X   X  95  26  61   X   X   X  63   X   X  94   X   X   X   X  70   X   X  32 
V18   X   X   X   X  58   X  71   X   X  25   6   X   X  69   X  80   X   X   X  51  27   X   X  69   X 
V19  45  37  24   X   X   X   X   X  35   X   X  41  94   X   X   X  75   X  51   X   X   X   X   X   X 
V20   X   X   X   X   X   X   X   X  72   X   X   X  12   X   X  70  40   X  27   X   X   X  80  90   X 
V21   X   X   X  39   X   X   X   X   X   X  81   X   X   X  16  47   X  70   X   X   X   X   X   X   X 
V22   X  13   X  64   X   X   X   X   X  78   X   X  33   8  71   X  62   X   X   X  80   X   X  57   X 
V23   X   X   X  71   X   X   X   X  78   X   X  50   X   X  20   X   X   X  69   X  90   X  57   X   X 
V24   X   X   X   X  55  53   X   X  62   X   X  94   X  58  80   X   X  32   X   X   X   X   X   X   X 
(V8-V10,1)(V0-V10,4)(V10-V18,6)(V3-V0,8)(V22-V13,8)(V6-V1,10)(V7-V15,11)(V12-V20,12)(V4-V15,13)(V16-V15,13)(V22-V1,13)(V14-V15,15)(V21-V14,16)(V8-V12,17)(V23-V14,20)(V16-V2,21)(V14-V5,22)(V2-V19,24)(V9-V18,25)(V8-V17,26)(V12-V1,27)(V1-V5,30)(V17-V24,32)(V11-V16,40)最小生成树总权值为414
     V0  V1  V2  V3  V4  V5  V6  V7  V8  V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23 V24
 V0   X   X   X   X   X   X   5  76   X   X  34   X   X  96  51   X   X  25   X   X   X  13   X   X   X 
 V1   X   X   X  48   X   X   X   X   X   X  57   X   X   X   X   X   X   X   X   X   X   X   X   X  14 
 V2   X   X   X   X  87  51   X   X   X   3  58  83   X   X   X   X   X   X  37   X   X   X   X   X   X 
 V3   X  48   X   X   X   X  71   X   X   X  68   X   X  58   X  20   X   4   X  59   X   X   X  97   X 
 V4   X   X  87   X   X  48   X   X  15   X   X   X   X   X   X   X  75   1  62   X   X   X   2  18   X 
 V5   X   X  51   X  48   X   X  45   X   X   X  61   X   X   X   X   4  65   X   X   X   X   X   X  36 
 V6   5   X   X  71   X   X   X   X   X   X  90   X   X   6  76   X   X   X   X  74   X   2  49  80   X 
 V7  76   X   X   X   X  45   X   X  10   X   X   X   X   X   X   X   X  88   X  59   X  95   X   X   X 
 V8   X   X   X   X  15   X   X  10   X   2   X  77  96  60  69   X   X  73   X   X   X  61  55   X   X 
 V9   X   X   3   X   X   X   X   X   2   X   X  71   X  65  76  44 100   X  10   X   X   X   X   X   X 
V10  34  57  58  68   X   X  90   X   X   X   X   X  49  21   X   X  46   X   X  82   X   X   X   X   X 
V11   X   X  83   X   X  61   X   X  77  71   X   X   X   X  23   X   X   X   X  36  50   X   X   X   X 
V12   X   X   X   X   X   X   X   X  96   X  49   X   X   X   X  58   X   X  36  66   X  14   1   X  15 
V13  96   X   X  58   X   X   6   X  60  65  21   X   X   X   X   X   X   X  51   X   X   X   X  58  54 
V14  51   X   X   X   X   X  76   X  69  76   X  23   X   X   X   X   X   X  14   X   X   X  34  34   X 
V15   X   X   X  20   X   X   X   X   X  44   X   X  58   X   X   X  46  65   X  19  25  91   X  19  86 
V16   X   X   X   X  75   4   X   X   X 100  46   X   X   X   X  46   X  38  26  83  24  93   X  37   X 
V17  25   X   X   4   1  65   X  88  73   X   X   X   X   X   X  65  38   X  66   X   X   X   X  39   X 
V18   X   X  37   X  62   X   X   X   X  10   X   X  36  51  14   X  26  66   X   X   X   X  25  55   X 
V19   X   X   X  59   X   X  74  59   X   X  82  36  66   X   X  19  83   X   X   X   X  20   X   X  95 
V20   X   X   X   X   X   X   X   X   X   X   X  50   X   X   X  25  24   X   X   X   X  48   X   X   X 
V21  13   X   X   X   X   X   2  95  61   X   X   X  14   X   X  91  93   X   X  20  48   X   X   X  94 
V22   X   X   X   X   2   X  49   X  55   X   X   X   1   X  34   X   X   X  25   X   X   X   X   X   X 
V23   X   X   X  97  18   X  80   X   X   X   X   X   X  58  34  19  37  39  55   X   X   X   X   X   X 
V24   X  14   X   X   X  36   X   X   X   X   X   X  15  54   X  86   X   X   X  95   X  94   X   X   X 
(V12-V22,1)(V17-V4,1)(V8-V9,2)(V21-V6,2)(V22-V4,2)(V2-V9,3)(V3-V17,4)(V16-V5,4)(V6-V0,5)(V6-V13,6)(V7-V8,10)(V18-V9,10)(V18-V14,14)(V1-V24,14)(V12-V21,14)(V12-V24,15)(V4-V8,15)(V4-V23,18)(V15-V23,19)(V15-V19,19)(V10-V13,21)(V14-V11,23)(V20-V16,24)(V20-V15,25)最小生成树总权值为271
     V0  V1  V2  V3  V4  V5  V6  V7  V8  V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23 V24
 V0   X   X   X  39   X   X   X   X   X  50  99   X  42   X  63   X   X   X   X   X   X   X   2   X   X 
 V1   X   X  42  89  50   X  61   X   X   X  85  28  71   X  57   X  31   X  50   X   X   X   X  79  86 
 V2   X  42   X   X   X   X  90   X   X  99  58  29   X   X   X   X   X  40  92   X  93   X  63  91   X 
 V3  39  89   X   X   X   X   X   X   X   X   X   X   X   X   X   X  12   X  28   X  24   X  34   3   X 
 V4   X  50   X   X   X   X   X  20   X   X   X   X   X  20   X   X   X  21   X   X   X  75  87   X   X 
 V5   X   X   X   X   X   X   X   X   X   X   X   X   X  48   X  52   X   X   X  39   X   X   X   X   X 
 V6   X  61  90   X   X   X   X   X  37   X   X   X   X   X   X  90   X   9   X   1   X   X   X  51  39 
 V7   X   X   X   X  20   X   X   X   X  46   X   X   X   X   X  76   X   X   X  78  17  17   X   X   X 
 V8   X   X   X   X   X   X  37   X   X   X  55  34   X   X   X  19  79   X   X   X  76   X   X   X   X 
 V9  50   X  99   X   X   X   X  46   X   X   X   X  78   X  69   X   X  53   X   X   X   X   X   X   X 
V10  99  85  58   X   X   X   X   X  55   X   X   X   X   X   X  68   X   X  43   X   X   X   X   X   X 
V11   X  28  29   X   X   X   X   X  34   X   X   X  62  87   1   X  80   X   X   9   X   X   8   X   X 
V12  42  71   X   X   X   X   X   X   X  78   X  62   X  59   X   X   X   X   X   X   X   X  16   X   X 
V13   X   X   X   X  20  48   X   X   X   X   X  87  59   X  96  35   X  12  78  49   X   X   X   X   X 
V14  63  57   X   X   X   X   X   X   X  69   X   1   X  96   X  87   X   X  71   X   X  76  83   X   X 
V15   X   X   X   X   X  52  90  76  19   X  68   X   X  35  87   X  63   X  73   X   X  12   X  52  52 
V16   X  31   X  12   X   X   X   X  79   X   X  80   X   X   X  63   X  36  21   X  38   X   X   X   X 
V17   X   X  40   X  21   X   9   X   X  53   X   X   X  12   X   X  36   X   X  93   X   X  14   7  13 
V18   X  50  92  28   X   X   X   X   X   X  43   X   X  78  71  73  21   X   X   7   X  60   X   X  65 
V19   X   X   X   X   X  39   1  78   X   X   X   9   X  49   X   X   X  93   7   X   X  44  45  35  55 
V20   X   X  93  24   X   X   X  17  76   X   X   X   X   X   X   X  38   X   X   X   X   X  23   X   X 
V21   X   X   X   X  75   X   X  17   X   X   X   X   X   X  76  12   X   X  60  44   X   X  67   X   X 
V22   2   X  63  34  87   X   X   X   X   X   X   8  16   X  83   X   X  14   X  45  23  67   X   X  48 
V23   X  79  91   3   X   X  51   X   X   X   X   X   X   X   X  52   X   7   X  35   X   X   X   X   X 
V24   X  86   X   X   X   X  39   X   X   X   X   X   X   X   X  52   X  13  65  55   X   X  48   X   X 
(V6-V19,1)(V11-V14,1)(V0-V22,2)(V23-V3,3)(V18-V19,7)(V17-V23,7)(V11-V22,8)(V6-V17,9)(V19-V11,9)(V16-V3,12)(V13-V17,12)(V15-V21,12)(V24-V17,13)(V12-V22,16)(V7-V21,17)(V20-V7,17)(V15-V8,19)(V4-V7,20)(V13-V4,20)(V11-V1,28)(V11-V2,29)(V19-V5,39)(V18-V10,43)(V9-V7,46)最小生成树总权值为390
     V0  V1  V2  V3  V4  V5  V6  V7  V8  V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23 V24
 V0   X   X  93   X  91  13   X   X  33   X   6   X   X   X   X   X  98   X   X  26   X   X  22   X   X 
 V1   X   X   X  28   X  44   X   X   X  51   X   X   X   X   X   X  92   X  78  12  78   X   X  78   X 
 V2  93   X   X   X   X   X   7   X  49   X   X  33   X  18   X  10   X   X   X   X   X   X   X  46   X 
 V3   X  28   X   X  94   X   X   X   9  63   X   X   X   X   X  27   X  68   X  25  45  54   X   X   X 
 V4  91   X   X  94   X  39  42   X  31   X   X   X   X  11   X   X   X  24   X  60  14  84   X   X   X 
 V5  13  44   X   X  39   X   X   2   X   X   X   X  44  77  74  74   X   X   X   X   X   X   6   X  12 
 V6   X   X   7   X  42   X   X   X  28   X  41  56   X   X   X   X  24   X   X  55  12   X  21   X   X 
 V7   X   X   X   X   X   2   X   X   X   2   X   X   X   X   X   X   X   X   X   X   X   X   X   X   X 
 V8  33   X  49   9  31   X  28   X   X  79   X   X   X   X  77  52   X   X   X   X   X   X   X  66   X 
 V9   X  51   X  63   X   X   X   2  79   X   X   X  59   X  40   X   X   X  71   X   X   X   X   X   X 
V10   6   X   X   X   X   X  41   X   X   X   X  87  39  96  68  92   X  20  45   X   X   X   X   X   X 
V11   X   X  33   X   X   X  56   X   X   X  87   X   X   X  91  17   X  65   X  42   X  86   X   X  61 
V12   X   X   X   X   X  44   X   X   X  59  39   X   X   X   X   X   7   X   X   X  14   X   X  61   X 
V13   X   X  18   X  11  77   X   X   X   X  96   X   X   X   X  96   X   X   X  78   X   X   X  84   X 
V14   X   X   X   X   X  74   X   X  77  40  68  91   X   X   X  46  80   X   X  73   X   X  69   X  47 
V15   X   X  10  27   X  74   X   X  52   X  92  17   X  96  46   X  44   X   X  19   X   X   X   2   X 
V16  98  92   X   X   X   X  24   X   X   X   X   X   7   X  80  44   X   X  10   X   X   X   X  91   X 
V17   X   X   X  68  24   X   X   X   X   X  20  65   X   X   X   X   X   X   X  28   X   X  66   X   X 
V18   X  78   X   X   X   X   X   X   X  71  45   X   X   X   X   X  10   X   X  24   X   X  41  64   X 
V19  26  12   X  25  60   X  55   X   X   X   X  42   X  78  73  19   X  28  24   X   X  50  45   X   X 
V20   X  78   X  45  14   X  12   X   X   X   X   X  14   X   X   X   X   X   X   X   X   X  72   X   9 
V21   X   X   X  54  84   X   X   X   X   X   X  86   X   X   X   X   X   X   X  50   X   X   X  83  99 
V22  22   X   X   X   X   6  21   X   X   X   X   X   X   X  69   X   X  66  41  45  72   X   X   X   X 
V23   X  78  46   X   X   X   X   X  66   X   X   X  61  84   X   2  91   X  64   X   X  83   X   X   X 
V24   X   X   X   X   X  12   X   X   X   X   X  61   X   X  47   X   X   X   X   X   9  99   X   X   X 
(V5-V7,2)(V9-V7,2)(V15-V23,2)(V22-V5,6)(V0-V10,6)(V6-V2,7)(V16-V12,7)(V3-V8,9)(V24-V20,9)(V15-V2,10)(V16-V18,10)(V4-V13,11)(V5-V24,12)(V19-V1,12)(V20-V6,12)(V0-V5,13)(V4-V20,14)(V20-V12,14)(V15-V11,17)(V15-V19,19)(V10-V17,20)(V19-V3,25)(V14-V9,40)(V21-V19,50)最小生成树总权值为329
     V0  V1  V2  V3  V4  V5  V6  V7  V8  V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23 V24
 V0   X   X   X  84  87  91  79   X   X   X   X   X   X  94   X  20  46   X   X   X   X   X   X   X   X 
 V1   X   X   X   X   X  44   X  76   X  52   X   X  31   X  45  85  74   X   X  64  73   X   X   X  84 
 V2   X   X   X   X   X   X   X   X   X   X  11   X   X   X   X   X 100   X   X   X   X   X  70   X   X 
 V3  84   X   X   X  61   X   X   X  54  72  66  31   X  59   X   X   X   X   X   X   X   X   X   X   X 
 V4  87   X   X  61   X   X   X   X   X   9   X   X  38   X   X  92   X  57  40   X   X  77   X   X  91 
 V5  91  44   X   X   X   X  46   X   X  72   X   X  58   X   X  25   X  55   X  90   X   X   X  57  89 
 V6  79   X   X   X   X  46   X   X  95   X   X   2   X   X   X  45  55  59   X   X   X  43   X   X   X 
 V7   X  76   X   X   X   X   X   X   X   X   X   X  28   X   X  47   X   X   X  47   6   X  27  23  97 
 V8   X   X   X  54   X   X  95   X   X  70   X   X  78  27   X   X   X  64   X   X   X   X   X   X   X 
 V9   X  52   X  72   9  72   X   X  70   X   X   X   X  28   X   X   X   X   X   X   X   8   X  18   X 
V10   X   X  11  66   X   X   X   X   X   X   X   X   X   X  97   X  16   X   X  62   X   7   X   X  42 
V11   X   X   X  31   X   X   2   X   X   X   X   X   X   X   X  60   8   X   X  28   X   X   X   2   X 
V12   X  31   X   X  38  58   X  28  78   X   X   X   X   X   8  95   2  91   X   X  15   X   X  64   X 
V13  94   X   X  59   X   X   X   X  27  28   X   X   X   X   X  86   X   8   X  57   X   X   X   X   X 
V14   X  45   X   X   X   X   X   X   X   X  97   X   8   X   X   X  77   X   X  10  61   X   X   X   X 
V15  20  85   X   X  92  25  45  47   X   X   X  60  95  86   X   X   X   X  19   X   X  72   X   X   X 
V16  46  74 100   X   X   X  55   X   X   X  16   8   2   X  77   X   X  27   X   X   X  66   X   X  54 
V17   X   X   X   X  57  55  59   X  64   X   X   X  91   8   X   X  27   X  34  60   X  11  33  34  11 
V18   X   X   X   X  40   X   X   X   X   X   X   X   X   X   X  19   X  34   X   X   X 100   X   X  53 
V19   X  64   X   X   X  90   X  47   X   X  62  28   X  57  10   X   X  60   X   X   X   X  32   X   X 
V20   X  73   X   X   X   X   X   6   X   X   X   X  15   X  61   X   X   X   X   X   X   X   X  64  48 
V21   X   X   X   X  77   X  43   X   X   8   7   X   X   X   X  72  66  11 100   X   X   X   X  58   X 
V22   X   X  70   X   X   X   X  27   X   X   X   X   X   X   X   X   X  33   X  32   X   X   X  83   X 
V23   X   X   X   X   X  57   X  23   X  18   X   2  64   X   X   X   X  34   X   X  64  58  83   X   X 
V24   X  84   X   X  91  89   X  97   X   X  42   X   X   X   X   X  54  11  53   X  48   X   X   X   X 
(V23-V11,2)(V16-V12,2)(V11-V6,2)(V20-V7,6)(V10-V21,7)(V9-V21,8)(V12-V14,8)(V11-V16,8)(V13-V17,8)(V4-V9,9)(V14-V19,10)(V17-V24,11)(V21-V17,11)(V2-V10,11)(V20-V12,15)(V10-V16,16)(V18-V15,19)(V0-V15,20)(V5-V15,25)(V7-V22,27)(V13-V8,27)(V3-V11,31)(V1-V12,31)(V18-V17,34)最小生成树总权值为348
     V0  V1  V2  V3  V4  V5  V6  V7  V8  V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23 V24
 V0   X  63  88   X   X   X   X   X  83   X  60   X  94   X  72   X   X   X   X  13  62   X  70   X  54 
 V1  63   X   X  12   X  59   X   X   X   X   X   X   X   7   X  22   X   X   X   X  78   X   X   X   X 
 V2  88   X   X   X   X  71   X   X  46   X   X  99   X   7   X   X  81   X  11   4  49   X  97   X   X 
 V3   X  12   X   X   X   X  50   X   X   X  40   X  60   X   X  60   X   X   X   X   X   X  73   9   X 
 V4   X   X   X   X   X  42  90  43   X  35   X   X  85  60  76   X   X   X   X  44   X   X   X   X   X 
 V5   X  59  71   X  42   X  73   X   X   X   X   X  44   X  12   X  23  97   X   X  92   X   X  38   X 
 V6   X   X   X  50  90  73   X  42   X  92   X   X  82  99   X   X   X   X   X   X   X  19  93   X   X 
 V7   X   X   X   X  43   X  42   X   X  90   X   X  90   X   X  87   X   X   X   X   X   X  85  18  13 
 V8  83   X  46   X   X   X   X   X   X   X   7  22   X   X   X   X  50  78   X   X   X  70  89   X  24 
 V9   X   X   X   X  35   X  92  90   X   X   X  83   X   X  68   X   X  73   X   X   X   X  78   X   X 
V10  60   X   X  40   X   X   X   X   7   X   X   X   X   X   X  87   X   X   X  93   X  75  27   X  66 
V11   X   X  99   X   X   X   X   X  22  83   X   X   X   X   X   X  21   X   X  26   X   X   X  55   X 
V12  94   X   X  60  85  44  82  90   X   X   X   X   X   X   X   X   X   X   X  46   X   X  49   X   X 
V13   X   7   7   X  60   X  99   X   X   X   X   X   X   X  25   X   X   X   X   X   X   X   X   X  54 
V14  72   X   X   X  76  12   X   X   X  68   X   X   X  25   X   X   X  51   8   X   X  38  17  32   X 
V15   X  22   X  60   X   X   X  87   X   X  87   X   X   X   X   X   X  86   X  19   X  58  95   X   X 
V16   X   X  81   X   X  23   X   X  50   X   X  21   X   X   X   X   X 100   X   X   X   X  69   X   X 
V17   X   X   X   X   X  97   X   X  78  73   X   X   X   X  51  86 100   X   X   X  85   X   X  81   X 
V18   X   X  11   X   X   X   X   X   X   X   X   X   X   X   8   X   X   X   X  46   X   X  19   X   X 
V19  13   X   4   X  44   X   X   X   X   X  93  26  46   X   X  19   X   X  46   X   X   X  77   X  42 
V20  62  78  49   X   X  92   X   X   X   X   X   X   X   X   X   X   X  85   X   X   X   X   X   X  22 
V21   X   X   X   X   X   X  19   X  70   X  75   X   X   X  38  58   X   X   X   X   X   X   X   X   X 
V22  70   X  97  73   X   X  93  85  89  78  27   X  49   X  17  95  69   X  19  77   X   X   X   X  12 
V23   X   X   X   9   X  38   X  18   X   X   X  55   X   X  32   X   X  81   X   X   X   X   X   X  90 
V24  54   X   X   X   X   X   X  13  24   X  66   X   X  54   X   X   X   X   X  42  22   X  12  90   X 
(V19-V2,4)(V1-V13,7)(V10-V8,7)(V13-V2,7)(V14-V18,8)(V23-V3,9)(V2-V18,11)(V3-V1,12)(V24-V22,12)(V14-V5,12)(V0-V19,13)(V24-V7,13)(V14-V22,17)(V6-V21,19)(V19-V15,19)(V11-V16,21)(V24-V20,22)(V8-V11,22)(V16-V5,23)(V4-V9,35)(V21-V14,38)(V5-V4,42)(V12-V5,44)(V14-V17,51)最小生成树总权值为468
     V0  V1  V2  V3  V4  V5  V6  V7  V8  V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23 V24
 V0   X  68   X  79   X   X  94  63  74  85  54   X   X   X   X   4   X   X   X  69   X   X  63   X   X 
 V1  68   X   X   X   X   1   X   X   X  38   X   X   X   X  53   X  61  55   X   X   X   X  31  99   2 
 V2   X   X   X   X   X   X   X   X   X   X   X   X   X  36   X  33   X   X   X   X   X   X  89   X   X 
 V3  79   X   X   X   X   X   X  51   X   X  49   X  79   X  45   X   X   X   X   9   X   X   X   X  74 
 V4   X   X   X   X   X   X   X  28   X   X   X   X  34   X   X   X   X   X   X  23   X   X   X  27  24 
 V5   X   1   X   X   X   X   X  59   X   X  45   X   X   X   X   X   X   X  60   X  15   X   X   X   X 
 V6  94   X   X   X   X   X   X   X   X   X   1   X  59  70  17   X   X  43  48   X  34  59   X   X  55 
 V7  63   X   X  51  28  59   X   X   X  55   X   X  58   X   X   X  45   X  20   X   X   X   X  82   X 
 V8  74   X   X   X   X   X   X   X   X  49   X  59   X   7   X  90  15  17   X  93  58   X   X   X  10 
 V9  85  38   X   X   X   X   X  55  49   X  75   X   X   X   X  62   X  62  40  79   X  68  85   X   X 
V10  54   X   X  49   X  45   1   X   X  75   X   X   X  67   4  70   X  17   X   X   X  41   X   X   X 
V11   X   X   X   X   X   X   X   X  59   X   X   X  33   5  56   X   X   X   X   X   X   X  88   X   X 
V12   X   X   X  79  34   X  59  58   X   X   X  33   X   X   X   X   X  41   8  50   X  85   X   7  77 
V13   X   X  36   X   X   X  70   X   7   X  67   5   X   X   X   X   X  49   X  63   X   X   X   X   X 
V14   X  53   X  45   X   X  17   X   X   X   4  56   X   X   X   X  20  31   X  77   X  18   X  84   X 
V15   4   X  33   X   X   X   X   X  90  62  70   X   X   X   X   X   X  15   X   X  60   X   X   X   X 
V16   X  61   X   X   X   X   X  45  15   X   X   X   X   X  20   X   X   X   X   X  87   X   X   X   X 
V17   X  55   X   X   X   X  43   X  17  62  17   X  41  49  31  15   X   X   X   X  75   X   6   X   X 
V18   X   X   X   X   X  60  48  20   X  40   X   X   8   X   X   X   X   X   X   X   X   X  23  58  48 
V19  69   X   X   9  23   X   X   X  93  79   X   X  50  63  77   X   X   X   X   X   X   X   X   X   X 
V20   X   X   X   X   X  15  34   X  58   X   X   X   X   X   X  60  87  75   X   X   X   X   X  32   X 
V21   X   X   X   X   X   X  59   X   X  68  41   X  85   X  18   X   X   X   X   X   X   X  49   X   X 
V22  63  31  89   X   X   X   X   X   X  85   X  88   X   X   X   X   X   6  23   X   X  49   X   X  61 
V23   X  99   X   X  27   X   X  82   X   X   X   X   7   X  84   X   X   X  58   X  32   X   X   X   4 
V24   X   2   X  74  24   X  55   X  10   X   X   X  77   X   X   X   X   X  48   X   X   X  61   4   X 
(V5-V1,1)(V10-V6,1)(V24-V1,2)(V0-V15,4)(V14-V10,4)(V24-V23,4)(V11-V13,5)(V22-V17,6)(V13-V8,7)(V12-V23,7)(V18-V12,8)(V19-V3,9)(V8-V24,10)(V17-V15,15)(V20-V5,15)(V8-V16,15)(V17-V10,17)(V8-V17,17)(V14-V21,18)(V7-V18,20)(V19-V4,23)(V4-V24,24)(V15-V2,33)(V9-V1,38)最小生成树总权值为303
     V0  V1  V2  V3  V4  V5  V6  V7  V8  V9 V10 V11 V12 V13 V14 V15 V16 V17 V18 V19 V20 V21 V22 V23 V24
 V0   X   X   X   9   X  79  91   X   X  83   X   X   X   X   X   X   X   X   X   X   X  14   X   X  39 
 V1   X   X   X   X  61   X  93   X   X  70  50   X   X   X   X   X   4   X   X  11   X   X   X   X  83 
 V2   X   X   X  42  21  49   X  90   X   X  85   8  59   X   X  52   X  56   X  55   X   X   X   X   X 
 V3   9   X  42   X  19   X   X  63  38   X   X  91   X   X  96   X   X  44   X   X   X  12   X  99   X 
 V4   X  61  21  19   X   X  70   X   X  77   X   X   X   X   X   X  53   X   X   X  66   X   X  16   X 
 V5  79   X  49   X   X   X   X   X   X   X  41  46  92   X   X  43  82  53  90   X   X   X  27   6   X 
 V6  91  93   X   X  70   X   X   X   X   X   X   X   X   X  39   4   X  78  76   X   X   X   X  54   X 
 V7   X   X  90  63   X   X   X   X   X   X   X  25   X   X   X  37   X   X  92  94   X  49  95   X   X 
 V8   X   X   X  38   X   X   X   X   X   X  38  81   X   X   X   X   X   X   X   X   X  76   X  51   5 
 V9  83  70   X   X  77   X   X   X   X   X  81   X   X  46   X   X   X   X   X   X  66   X   X   X   X 
V10   X  50  85   X   X  41   X   X  38  81   X   X  97  91  43   X   X   X  68   X  34  93   X   X   X 
V11   X   X   8  91   X  46   X  25  81   X   X   X   X   X   7   X   X  28   X   X  71   X   X  31  73 
V12   X   X  59   X   X  92   X   X   X   X  97   X   X   X   X   X  49  91  50   X  78  31   X  16   X 
V13   X   X   X   X   X   X   X   X   X  46  91   X   X   X   X   X   X   X  47 100   X   X  98   X   X 
V14   X   X   X  96   X   X  39   X   X   X  43   7   X   X   X  24   X   X   X   2   X  75  87   X   X 
V15   X   X  52   X   X  43   4  37   X   X   X   X   X   X  24   X   X  27   X   X   X  49  66   X   X 
